chinese,english
瑪麗給 我 看 了 這 封信,Mary showed the letter to me
請 把 帳單給 我 好 嗎,May I have the check please
我 的 工作 是 洗 盤子,My job is to wash the dishes
我 父母 不让 我 和 男生 约会,My parents won't let me date
我们 的 花园 布满 了 杂草,Our garden was full of weeds
我們 的 新家 有 一 臺 電梯,Our new home has an elevator
请 继续 讲 你 的 故事,Please go on with your story
米 以 公斤 為 單位 來 出售,Rice is sold by the kilogram
代 我 向 你 父親 問好,Say hi to your father for me
她 把 這個 工作 派給 他 做,She assigned the work to him
她給 了 我 一些 很 好 的 建議,She gave me some good advice
她 十幾歲 時 就 結婚 了,She got married in her teens
她 在 海边 有 一间 小屋,She has a cottage by the sea
她 没 像 你 那样 有 耐心,She is not as patient as you
她 對 那個 女人 做 了 鬼 臉,She made faces at that woman
她 用 蘋果 做 了 果醬,She made jam from the apples
她 戴 上 了 帽子 准备 出去,She put on her hat to go out
她 昨天 看见 一个 高大 的 男人,She saw a tall man yesterday
她 在 一棵树 下 坐 着,She was sitting under a tree
她 寫 了 一本 關於鳥類 的 書,She wrote a book about birds
她 还 没 听到 这个 消息,She's not yet heard the news
滑冰 是 我 的 嗜好 之一,Skating is one of my hobbies
溜冰 是 我 的 嗜好 之一,Skating is one of my hobbies
努力 學習 這樣 你 就 不會 失敗,Study hard so you don't fail
這樣 的 計劃 注定 會 失敗 的,Such a plan is bound to fail
再 跟 我 說 一次 你 住 哪,Tell me again where you live
这 就是 我 关于 他 知道 的 一切,That is all I know about him
那 不是 猫 那 是 狗,That's not a cat It's a dog
那 是 我 最 喜歡 的 部分,That's the part I liked best
這個 男孩 取笑 了 這個 女孩,The boy made fun of the girl
这个 男孩 把 收音机 折 散架 了,The boy took the radio apart
这 条 裙子 你 穿着 很 合身,The dress fits you very well
马是 种 很 有用 的 动物,The horse is a useful animal
他 去世 的 消息 傳開 來 了,The news of his death spread
这 本书 的 价格 是 5 美元,The price of the book was $5
我 对 这个 单词 不 熟,The word is unfamiliar to me
你 的 袜子 上 有 个 洞,There is a hole in your sock
你 的 袜子 破 了 一个 洞 呀,There is a hole in your sock
我 的 房间 里 没有 时钟,There is no clock in my room
他們 面帶 微笑 向 我 打招呼,They greeted me with a smile
他们 每天 必须 工作 8 小时,They must work 8 hours a day
他们 说 天气 会 很 热,They say it will be very hot
这 是 我 仅 有 的 一 本书,This is the only book I have
汤姆 ( Tom ) 决定 出家 为 僧,Tom decided to become a monk
汤姆 看起来 一点 也 不 开心,Tom didn't look happy at all
湯姆 趴在 方向 盤上 睡 著 了,Tom fell asleep at the wheel
湯姆給 了 瑪麗 一個 不錯 的 禮物,Tom gave Mary a nice present
汤姆 扔掉 了 他 的 旧书,Tom got rid of his old books
湯姆 讓 我們 去 幫 他,Tom has asked us to help him
湯姆 從 2013 年 起 一直 在 這裡,Tom has been here since 2013
汤姆 有 他 自己 的 问题,Tom has got his own problems
湯姆 的 書 比瑪麗 的 還多,Tom has more books than Mary
聽到 這事 之 後 湯姆為 之色變,Tom heard this and got angry
汤姆 是 一名 教授 不是 吗,Tom is a professor isn't he
湯姆 跟 他 爸爸 一樣 高,Tom is as tall as his father
汤姆 因为 工作 现在 在 波士顿,Tom is in Boston on business
Tom 對 烹飪 很 在 行,Tom is quite good at cooking
湯姆 從 椅子 上 跳 了 起來,Tom jumped up from his chair
汤姆 说 他们 需要 更 多 时间,Tom says they need more time
汤姆 拿 枪射 自己 的 头,Tom shot himself in the head
汤姆 告诉 了 我 玛丽 住 哪儿,Tom told me where Mary lives
湯姆 告訴 他們 不要 去 做 那事,Tom told them not to do that
原来 Tom 是 贼 来 的,Tom turned out to be a thief
汤姆 以前 和 我 女儿 约会,Tom used to date my daughter
汤姆 回到 了 他 的 卧室,Tom went back to his bedroom
汤姆 以后 再也不会 见 你 了,Tom will never see you again
汤姆 永远 也 不会 见 你 了,Tom will never see you again
把 收音 機 的 聲音 關小一點,Turn the radio down a little
在 这儿 等到 他 回来 为止,Wait here till he comes back
我們 昨晚 吃 了 咖哩 飯,We ate curry rice last night
我们 在 沙滩 上起 了 火,We built a fire on the beach
我們 能比 他們 做 得 多,We can do more than they can
我們 可以 信賴 他 的 判斷,We can rely on his judgement
我們 發現 這個 男孩 睡得 很沉,We found the boy fast asleep
汤姆 我们 必须 要 做点 什么,We have to do something Tom
我们 设 了 个 陷阱 来 抓 狐狸,We set a trap to catch a fox
我們 除了 週日 每 一天 都 工作,We work every day but Sunday
當雨 停 了 我們 就 會 去,We'll go when the rain stops
他 穿著 西裝 站 了 出來,Wearing a suit he stood out
那么 女孩 们 是 时候 出发 了,Well girls it's time to go
她 在 店裡 買 了 什麼,What did she buy at the shop
你 对 这件 事有 什么 看法,What do you think about this
我 对 汤姆 做 了 什么,What have I ever done to Tom
汤姆 是 个 什么样 的 人,What kind of a person is Tom
那 隻 鳥 叫 什麼 名字,What's the name of that bird
你 什么 时候 能 来 我家,When can you come to my home
你 是 甚麼 時候 認識 湯姆 的,When did you get to know Tom
你 什么 时候 试着 抱 过 汤姆,When did you try hugging Tom
谁 是 你 最 喜爱 的 电视 明星,Who is your favorite TV star
誰 要 照顧 你 的 狗,Who will look after your dog
为什么 你 不 等等 我 就 开始 了,Why did you begin without me
你 為 什麼 說 了 這樣 的 事,Why did you say such a thing
要 很長 的 時間 才能 恢 復 嗎,Will it take long to recover
復 原 需要 花 很長 的 時間 嗎,Will it take long to recover
你 可以 把 你 的 車賣給 我 嗎,Will you sell your car to me
从 海洋 吹来 的 风 感觉 湿漉漉 的,Winds from the sea are moist
你 不來 跟 我們 一起 吃 晚飯 嗎,Won't you join us for dinner
你 可以 借 我 一些 錢 嗎,Would you lend me some money
你 可以 借 我 你 的 刀 嗎,Would you lend me your knife
您 想 再 来 点 茶 吗,Would you like some more tea
你 和 我 有 相同 的 想法,You and I have the same idea
你 是 你 自己 最大 的 敌人,You are your own worst enemy
你 想 去 哪里 都 可以,You can go wherever you want
你 只給 了 我 五十 美分,You gave me only fifty cents
你 找 錯 了 零錢給 我,You gave me the wrong change
你 知道 我 想 聽 甚麼,You know what I want to hear
你 不如 跟 我 一起 來,You may as well come with me
你 可以 選擇 你 喜歡 的,You may choose what you like
你 喜欢 去 哪儿 就 可以 去 哪儿,You may go anywhere you like
你 必須 派 人 去 請 醫生 來,You must send for the doctor
你 只給 了 我 五十 美分,You only gave me fifty cents
对 其他人 你 应该 和善 一点,You should be kind to others
你 認為 我 瘋 了 不是 麼,You think I'm mad don't you
我 走 了 你 会 想 我,You'll miss me when I'm gone
你 把 我 的 头发 剪得 太短 了,You've cut my hair too short
你 的 笔比 我 的 好,Your pen is better than mine
我 喜欢 旅游   我 也 是,I like traveling So do I
一 隻 鳥 正在 樹上 唱歌,A bird is singing in the tree
醫生 立刻 被 請 來 了,A doctor was sent for at once
蒼蠅 能 在 天花板 上 走,A fly can walk on the ceiling
我 所有 的 朋友 都 喜歡 足球,All of my friends like soccer
發光 的 未必 都 是 金子,All that glitters is not gold
所有 您 要 做 的 就是 等待,All you have to do is to wait
任何 床 都 比 沒 有 床 好,Any bed is better than no bed
有 任何 給我 的 訊息 嗎,Are there any messages for me
汤姆 这些 全都 是 你 的 书 吗,Are these all your books Tom
你 住 在 這家 旅館 嗎,Are you staying at this hotel
你 如果 有 疑问 就 问 汤姆 吧,Ask Tom if you have any doubt
在 家里 我们 只 说 法语,At home we speak only French
观察 鸟类 是 个 很 好 的 业余爱好,Bird watching is a nice hobby
我能 把 这个 东西 带到 飞机 上 吗,Can I carry this on the plane
我 可以 登記 這堂 課 嗎,Can I register for that class
我能 跟 護士長 說 話 嗎,Can I speak to the head nurse
你 可以 幫 我 保留 這個 座位 嗎,Can you save this seat for me
我 可以 借 你 的 灰色 西装 吗,Could I borrow your gray suit
請 把 帳單給 我 好 嗎,Could I have the bill please
我們 在 外面 可以 有 一張 桌子 嗎,Could we have a table outside
你 能 帶給 我 一些 水 嗎,Could you bring me some water
能 给 我 带 一点 水来 吗,Could you bring me some water
您 能 把 收音机 开 小声 一点 吗,Could you turn down the radio
你 那天 去 了 倫敦 嗎,Did you go to London that day
您 参观 过 东京 塔 吗,Did you visit the Tokyo Tower
我们 冰箱 里 有 牛奶 吗,Do we have milk in the fridge
你 有 任何 比較 小 的 尺寸 嗎,Do you have any smaller sizes
你 知道 哪家 飯店 好 嗎,Do you know a good restaurant
你 知道 湯姆會 說 甚麼 嗎,Do you know what Tom will say
你 知道 去 哪 找 汤姆 吗,Do you know where to find Tom
你 和 你 的 父母 同住 嗎,Do you live with your parents
你 週日 需要 去 工作 嗎,Do you need to work on Sunday
你 觉得 汤姆 是不是 太嫩 了,Do you think Tom is too young
你 知道 我 的 意思 嗎,Do you understand what I mean
你 要 我 煮 咖啡 嗎,Do you want me to make coffee
你 想 吃 点 午饭 吗,Do you want to get some lunch
不要 看 湯姆 看 著 我,Don't look at Tom Look at me
別動 不然 我 就 開槍射 你,Don't move or I'll shoot you
不要 把 所有 东西 都 放到 包 里面,Don't put anything in the bag
英格兰 为 她 的 诗人 感到 自豪,England is proud of her poets
填上 你 的 姓名 和 地址,Fill in your name and address
她 完成 了 她 的 工作 嗎,Has she finished her work yet
你 吃 過午 飯 了 嗎,Have you eaten your lunch yet
你 去 看过 医生 了 吗,Have you gone to see a doctor
他 尋求 他 的 朋友 的 幫助,He asked his friends for help
他 问 我 买 了 什么,He asked me what I had bought
他 開始 吃 他 的 早餐 了,He began to eat his breakfast
他 為 這個 意外 指責 我,He blamed me for the accident
他 買給 我 一本 新 字典,He bought me a new dictionary
他 可以 为 自己 的 父亲 而 骄傲,He can be proud of his father
他 入住 了 一間 很 好 的 旅館,He checked in at a good hotel
他 在 週日 打 掃 他 的 房間,He cleaned his room on Sunday
他 没 给 我 多少 建议,He didn't give me much advice
他 用 毛巾 弄 干 自己,He dried himself with a towel
他 在 花園裡 找到 了 一顆 球,He found a ball in the garden
他給 這 隻 狗 一些 肉,He gives some meat to the dog
他 跌倒 的 時候 受 了傷,He got hurt when he fell down
他 從 車子 底下 出來 了,He got out from under the car
他 已 經成 為 了 棒球 隊員,He has made the baseball team
他 是 我們 學校 的 老師,He is a teacher at our school
他 是 我 太太 认识 的 一个 人,He is acquainted with my wife
他 將成 為 一名 工程 師,He is going to be an engineer
他 比 他 的 弟弟 高,He is taller than his brother
他 在 桌子 上 留下 了 這本書,He left the book on the table
他 喜欢 旅行 我 也 是,He likes to travel I do too
他 就 住 在 馬 路 對面,He lives just across the road
他 看 起來 就 像 他 的 母親,He looks just like his mother
他 好好 的 使用 了 這筆 錢,He made good use of the money
他 使 他 儿子 成 了 个 有钱人,He made his son a wealthy man
他 讓 我 違背 了 我 的 意願,He made me go against my will
他 娶 了 一個 很漂亮 的 女孩,He married a very pretty girl
他 一定 是 錯過 了 這班 火車,He must have missed the train
他 再也 没见 过 他 爸,He never saw his father again
他 常常 載 我 去 兜 風,He often takes me for a drive
他畫 了 一幅 狗 的 畫,He painted a picture of a dog
他畫 了 一幅 玫瑰 的 畫,He painted a picture of roses
他 摆出 一副 无辜 的 样子,He put on an air of innocence
他 每天 都 在 公园 中 跑步,He runs in the park every day
现在 他 应该 已经 到 了,He should have arrived by now
他 看到 我 的 时候 和 我 说话,He spoke to me when he saw me
他 呆 在 他 阿姨 家,He stayed at his aunt's house
他 住 在 他 舅妈 家,He stayed at his aunt's house
他 想到 了 一個 解決 的 好 辦法,He thought of a good solution
他 扔 一塊 石頭 到 池塘 裡,He threw a rock into the pond
他 扔 了 一塊 石頭 到 池塘 裡,He threw a rock into the pond
他 被 那个 女人 吸引住 了,He was attracted to the woman
他 在 一次 車禍 中 受傷 了,He was hurt in a car accident
他 是 我 弟弟 的 一個 朋友,He's a friend of my brother's
他 是 我 哥哥 的 朋友,He's a friend of my brother's
虽然 他 很 有钱 但 他 不 幸福,He's rich but he's not happy
他 穿着 上 很 不 讲究,He's very sloppy in his dress
她 的 房子 在 河 的 另一边,Her house is across the river
她 的 想法 比 你 的 好,Her idea is better than yours
这 是 个 没有 柄 的 平锅,Here is a pan without handles
他 的 房子 在 我 的 對面,His house is across from mine
他 的 叔叔 五年 前 去世 了,His uncle died five years ago
他 的 手 錶 慢 了 十分 鐘,His watch is ten minutes slow
他 的 妻子 是 我 的 一個 朋友,His wife is one of my friends
你 想 怎麼 剪 你 的頭 髮,How do you want your hair cut
你 想 將頭 髮 剪成 怎樣,How do you want your hair cut
你 的 工作 進行 得 怎麼樣,How is your work coming along
你 跟 多少 人 说 了,How many people have you told
你 買 了 多少 張 照片,How many pictures did you buy
您 的 牛排 要 几分 熟,How would you like your steak
我 每個 星期一 都 覺得 很 憂鬱,I always feel blue on Mondays
我 總 是 走路 到 學校,I always go to school on foot
我 是 这个 学校 的 学生,I am a student of this school
上帝 賜予 我 健康 的 身體,I am blessed with good health
我 很 幸運有 健康 的 身體,I am blessed with good health
我 很 高興 有 她 的 陪伴,I am glad to have her company
我 周日 从来 都 不 在家,I am never at home on Sundays
我 在 班里 是 最高 的,I am the tallest in our class
我問 了 他 叫 什麼 名字,I asked him what his name was
我 穿著 我 的 睡衣 吃 早餐,I ate breakfast in my pajamas
我在陽 臺 上 吃 的 早飯,I ate breakfast on my balcony
我 買 了 一台 新 的 縫紉機,I bought a new sewing machine
沒有 你 的 幫忙 我 也 能 做,I can do it without your help
除了 洋葱 我 什么 都 可以 吃,I can eat anything but onions
我 看 你 擅长 做 这事,I can see you're good at this
我 負擔 不起 打 網球 的 費用,I can't afford to play tennis
我 不敢相信 汤姆 亲 了 我,I can't believe Tom kissed me
我無法 做 比 這更 多 的 了,I can't do any more than this
我 到处 都 找 不到 我 的 钥匙,I can't find my keys anywhere
我 不 那麼 會 打 網球,I can't play tennis that well
我 網球 打 的 不是 很 好,I can't play tennis very well
我無法 分辨 你 是否 在 開 玩笑,I can't tell if you're joking
我給 他 帶 來 了 很多 麻煩,I caused him a lot of trouble
我 没 听到 您 的 姓,I didn't catch your last name
我 不 知道 你 的 計畫,I didn't know about your plan
我 不 知道 她 结婚 了,I didn't know she was married
那時 我 不 知道 該 怎麼 辦,I didn't know what to do then
我 沒 把 真相 全告訴 你,I didn't tell the whole truth
我 在 放學 後 做作 業,I do my homework after school
我 再也 不 相信 他 了,I do not trust him any longer
不 知道 他 什么 时候 来,I don't know when he's coming
我 不 喜歡 他 講話 的 樣子,I don't like the way he talks
我 不 喜歡 在 泳池 裡 游泳,I don't like to swim in pools
我 网球 打得 不 那么 好,I don't play tennis that well
我覺 得 他 不能 幫 你,I don't think he can help you
我 不想 错过 我 的 火车,I don't want to miss my train
我給 了 我 妹妹 一本 字典,I gave my sister a dictionary
我 每周 都 去 看 电影,I go to the movies every week
我 的 英文 成績 很 好,I got a good grade in English
我 的 英文 得到 了 好 成績,I got a good grade in English
我 今天 收到 了 她 的 信,I got a letter from her today
我 被 很多 的 蚊子 叮 了,I got a lot of mosquito bites
我 拿到 了 他 還給 我 的 錢,I got the money back from him
我 免費 得到 這個 CD 播放 機,I got this CD player for free
昨晚 我 做 了 个 好 梦,I had a good dream last night
我 曾 與 他 的 比賽 網球,I had a tennis match with him
我 曾 希望 在 那裡 遇見 你,I had hoped to meet you there
我 有 我 需要 的 所有 东西,I have everything that I need
我 沒 有 時間 也 沒 有 錢,I have neither time nor money
我 有 好消息 要 告訴 你,I have some good news for you
我 必须 要 买 圣诞礼物 了,I have to buy Christmas gifts
我 必須 向 Tom 解釋 這個,I have to explain this to Tom
我 不得不 說 我 羨慕 你 們,I have to say I envy you guys
我 不得不 一整天 都 待 在 床上,I have to stay in bed all day
我 必須 再 考 一次 試,I have to take the test again
我 好多天 沒 吃 東西 了,I haven't eaten for many days
我 好多天 没 吃 东西 了,I haven't eaten for many days
我 聽 說 他 賣 掉 了 房子,I hear that he sold his house
我 從 收音 機聽 到 了 這個 消息,I heard the news on the radio
我 希望 没 打扰到 你 吧,I hope I'm not disturbing you
我 希望 明天 將是 美好 的,I hope it'll be fine tomorrow
我 只 想 跟 汤姆 说话,I just wanted to speak to Tom
我 知道 她 一直 很 忙,I know that she has been busy
我 知道 你 要 說 不,I know you're going to say no
我 和 你 哥哥 很 熟,I know your brother very well
我 学会 了 不靠 她 生活,I learned to live without her
我 比 我 的 妹妹 早離開,I left earlier than my sister
我 喜欢 花 时间 和 Tom 在 一起,I love spending time with Tom
我 在 机场 见 了 个 朋友,I met a friend at the airport
我 在 深夜 遇見 了 她,I met her late in the evening
我 昨天 在校 園裡 遇到 了 她,I met her on campus yesterday
我 把 他誤 認為 是 他 的 兄弟,I mistook him for his brother
我 必須 先 完成 這個 工作,I must finish this work first
我 需要 更 经常 地 锻炼,I need to exercise more often
我 需要 知道 你 怎么 想,I need to know what you think
我 常常 在 週日 打 網球,I often play tennis on Sunday
我 經常 和 他 去 釣魚,I often went fishing with him
我 和 我 爸爸 玩 接球,I played catch with my father
我 把 錢 放入 保險 櫃裡,I put the money into the safe
我 上 個 星期天 在家 裡放 輕 鬆,I relaxed at home last Sunday
我 说 我会 让 她 幸福 的,I said I would make her happy
我 看见 他 穿过 了 马路,I saw him crossing the street
我應 該 拿 那些 錢 的,I should have taken the money
我本 應該 向 湯姆 求助 的,I should've asked Tom to help
我 還是 不 認為 我 錯 了,I still don't think I'm wrong
我 每 兩天 洗 一次 澡,I take a bath every other day
我 跟 她 談 了 一個 小時,I talked with her for an hour
我 想 我 找到 答案 了,I think I've found the answer
我 認為 湯姆 真心 喜歡 瑪麗,I think Tom really likes Mary
我 觉得 明天 会 很 热,I think it'll be hot tomorrow
我 认为 她 是 一个 诚实 的 女人,I think she's an honest woman
我 还 以为 我 在 做梦 呢,I thought that I was dreaming
我 為 我 的 家人 拍 了 照片,I took a picture of my family
我 去年 上 了 一堂 藝術 課,I took an art class last year
我 以前 每天 在 這裡 游泳,I used to swim here every day
我 盡 可能 的 走慢 一點,I walked as slowly as I could
我 希望 汤姆 让 玛丽 完成,I want Tom to let Mary finish
我 想要 吃 甜 的 東西,I want something sweet to eat
我要 溫習 一下 我 的 英文,I want to brush up my English
我 想 知道 她 去 哪儿 了,I want to know where she went
我 想 知道 他们 在 哪,I want to know where they are
我本 想 去 参加 音乐会 的,I wanted to go to the concert
我 被 这 情景 吓 到 了,I was frightened by the sight
她 的 作品 給我 留下 了 深刻印象,I was impressed with her work
我 很 驚訝 竟然 看到 了 獅子,I was surprised to see a lion
我 是 见 汤姆 的 最后 一个,I was the last one to see Tom
我 去 公园 散 了 步,I went for a walk in the park
我 搭 公車 和 火車 去 那裡,I went there by bus and train
今天 早上 我 去 了 公园,I went to a park this morning
我會 幫 你 找 個 好 醫生,I will find you a good doctor
我會 在 六點鐘 左右 接 你,I will pick you up around six
我 希望 有 一天 去 埃及,I wish to visit Egypt someday
但願 你 可以 跟 我們 一起 來,I wish you could come with us
我 不 知道 我能 不能 再 做 一次,I wonder if I can do it again
我 為 一家 船運 公司 工作,I work for a shipping company
我 想 知道 她 的 名字,I would like to know her name
我 寫 了 一封信 給我 的 母親,I wrote a letter to my mother
我 寫 下 他 的 電話 號碼 了,I wrote down his phone number
我 一周 前 已經 買 了,I'd bought it the week before
我 想 有 一天 去 国外,I'd like to go abroad one day
我 想 和 汤姆 单独 谈一谈,I'd like to talk to Tom alone
我会 开车 送 你 去 机场,I'll drive you to the airport
我会 开车 送 你们 去 机场,I'll drive you to the airport
我 再也不会 跟 你 说话 了,I'll never speak to you again
我会 努力 帮 你 找到 他们,I'll try to find them for you
恐怕 我 必須 說 再 見 了,I'm afraid I must say goodbye
我 问 你 你 在 想 什么,I'm asking you what you think
我 下個 月 要 去 巴黎,I'm going to Paris next month
我 很 感激 汤姆 所 做 的,I'm grateful for what Tom did
我 不会 再说 这句 话 了,I'm not going to say it again
我 對 此 真 不 高興,I'm really not happy about it
听到 这样 的 消息 我 真的 很 难过,I'm really sorry to hear that
我 厌倦 了 听 汤姆 说话,I'm tired of listening to Tom
我 一直 都 想 去 做,I've always wanted to do that
我 听够 你 的 谎话 了,I've had enough of your lying
我 已经 读过 很多 种类 的 书 了,I've read many kinds of books
我 要是 会 说 英语 就 好 了,If only I could speak English
如果 您 想 知道 直接 问 就是 了,If you want to know just ask
如果 你 忙 我 會 幫 你,If you're busy I'll help you
在 我 看來 她 是 正確 的,In my opinion she is correct
这 不是 汤姆 要 的 吗,Isn't this what Tom asked for
和 她 争辩 是 没用 的,It is no use arguing with her
我 的 手 錶 是 十點鐘 了,It is ten o'clock by my watch
那个 没 你 想象 的 那么 难,It isn't as hard as you think
这 是 个 静谧 的 冬夜,It was a quiet winter evening
这是 一个 十分 愚蠢 的 决定,It was a very stupid decision
它 的 大小 就 像 雞 蛋,It's about the size of an egg
差不多 是 就 寢 的 時間 了,It's almost time to go to bed
它 跟 你 說 的 完全 一樣,It's exactly as you say it is
那个 没 你 想象 的 那么 难,It's not as hard as you think
遵守 法律 是 我們 的 義務,It's our duty to obey the law
它 对 你 的 眼睛 有害,It's really bad for your eyes
现在 很晚 了 没法 电联 汤姆,It's too late to call Tom now
讓 我們 在 公園裡 散步 吧,Let's take a walk in the park
骗子 们 必须 有 好 记性,Liars must have a good memory
生活 並不都 是 輕 鬆 愉快 的,Life is not all fun and games
我 跟 你 说话 的 时候 看着 我,Look at me when I talk to you
瑪麗 把 錢 藏 在 了 文胸 裏,Mary hid the money in her bra
昨晚 我 的 自行车 被 偷 了,My bike was stolen last night
我 的 老 闆 要 我 加班,My boss made me work overtime
我 出生 前 我 父亲 就 死 了,My dad died before I was born
我 的 梦想 是 成为 一名 飞行员,My dream is to become a pilot
我 父亲 给 我 买 了 一辆 自行车,My father bought me a bicycle
我 的 父親 四年 前 去世 了,My father died four years ago
我 的 父親 死 於 肺癌,My father died of lung cancer
我 父親 是 一名 辦 公室 職員,My father is an office worker
我 父親 為 我 做 了 個 架子,My father made a shelf for me
我 爸爸 告诉 我 去 哪儿,My father told me where to go
我 的 手 和 腳 都 腫 了,My hands and legs are swollen
我媽媽 是 一個 很棒 的 廚師,My mother is a very good cook
我 的 母親 從 不 早起,My mother never gets up early
我 侄子 對 雞 蛋 過敏,My nephew is allergic to eggs
我 父母 給我 寄 了 一張 明信片,My parents sent me a postcard
我 的 钢笔 不像 你 那支 那么 好,My pen isn't as good as yours
我 的 兒子 厭煩 了 漢堡 包,My son is tired of hamburgers
我 的 錶 慢 了 五分 鐘,My watch is five minutes slow
没有 人住 在 这栋 楼 里,No one lives in this building
老 的 犬 可以 学新 的 诡计,Old dogs can learn new tricks
我們 的 昨晚 車 拋錨 了,Our car broke down last night
我們 學校 有 五十年 的 歷史 了,Our school is fifty years old
我們 的 老師 喜歡 他 的 新車,Our teacher likes his new car
请 你 给 我 一杯 水,Please give me a cup of water
請 告訴 我 你 的 想法,Please tell me what you think
把 書 放在 最 上面 的 架子 上,Put the book on the top shelf
羅 馬 這個 城市 值得 一遊,Rome is a city worth visiting
她 沒 有 告訴 我 她 的 秘密,She didn't tell me her secret
她 意味 深長 地 看 了 我 一眼,She gave me a meaningful look
她 搭 上 了 去 原宿 的 巴士,She got on a bus for Harajuku
她 在 我 到 達 之前 去世 了,She had died before I arrived
她 一直 住 在 小 樽,She has always lived in Otaru
她 还 没 听到 这个 消息,She hasn't heard the news yet
她 把 她 的 孩子 抱 在 懷裡,She held her baby in her arms
她聘 請 他 作 程式 設計師,She hired him as a programmer
她現 在 正在 做 她 的 功課,She is doing her homework now
她 很 窮 但是 她 很快 樂,She is poor but she is happy
她 就 住 在 我們 對面,She lives just across from us
她 為 我們 所有 的 人 煮 咖啡,She made coffee for all of us
她 讓 出個 空間給 一位 老太太,She made room for an old lady
她 的 衣服 全部都是 她 自己 做 的,She makes all her own clothes
她 为了 他 的 钱 嫁给 了 他,She married him for his money
她 把 我誤 認為 是 我 的 兄弟,She mistook me for my brother
她 把 我 哥哥 誤認 為 我,She mistook my brother for me
她 昨天 来 见 我 了,She paid me a visit yesterday
她 把 鑰匙 放在 她 的 口袋 裡,She put the key in her pocket
她 把 钱 放在 银行 里,She put the money in the bank
她 強迫 他 做 這個 工作,She saddled him with the work
她給 我們 看 了 一頂 漂亮 的 帽子,She showed us a beautiful hat
她 在 那裡 待 了 一會,She stayed there for a moment
她 想 參加 這個 派 對,She wants to attend the party
她 上 個 月 在 美國,She was in America last month
她 嫁給 了 一個 有 錢 的 男人,She was married to a rich man
她 是 坐 火車 去 上海 的,She went to Shanghai by train
她 搭 計程 車到 博物 館,She went to the museum by cab
她 跟 他 去 公園 了,She went to the park with him
她 会 是 他 的 好 妻子,She will make him a good wife
她 是 個 女孩 但 她 勇敢,She's a girl but she's brave
請給 我 看看 便宜 一點 的,Show me a cheaper one please
有人 抓住 了 我 的 手臂,Somebody caught me by the arm
有人 把 我鎖 在 這房 間裡,Someone locked me in the room
留下来 和 我们 一起 喝酒 吧,Stay and have a drink with us
把 郵票 貼 在 信封 上,Stick a stamp on the envelope
我 就是 这么 学会 英语 的,That is how I learned English
理 髮 師為 他理 了頭 髮,The barber gave him a haircut
這個 箱子 太重 了 無法 攜帶,The box is too heavy to carry
公車 應該 很快 就 會 來 了,The bus should be coming soon
这 条 裙子 很 适合 你,The dress suits you very well
這裡 的 食物 不是 很 好,The food isn't very good here
這個 女孩 什麼 也 沒 說,The girl did not say anything
狮子 在 跟踪 它 的 猎物,The lion is stalking its prey
這位 老先生 立 了 他 的 遗嘱,The old man made out his will
患者 现在 处于 深度 昏迷 状态,The patient is in a deep coma
車站 離 這裡 兩 英里 遠,The station is two miles away
桌上 的 手表 是 我 的,The watch on the desk is mine
他們 的 父親 是 一個 計程車 司機,Their father is a taxi driver
没有 更 多 免费 座位 了,There were no more free seats
這個 桶子 上 有 個 洞,There's a hole in this bucket
他們 不再 跟 我們 談 了,They don't talk to us anymore
他们 有 一个 非常 漂亮 的 暖房,They have a very nice veranda
他們 兩 年前 搬到 了 這裡,They moved here two years ago
他們 等 了 他 好 幾個 小時,They waited for him for hours
這把 椅子 是 用塑 膠 製 成 的,This chair is made of plastic
这 是 我 能 为 您 做 的,This is what I can do for you
在 这条 河里 游泳 很 安全,This river is safe to swim in
这个 码 对 我 来说 太大 了,This size is too large for me
这个 磁带 录音机 不是 新 的,This tape recorder is not new
湯姆問 我 找到 我 的 鑰匙 了 吗,Tom asked if I'd found my key
汤姆 没法 发动 他 的 车,Tom can't get his car started
汤姆 确实 有个 麻烦 的 工作,Tom certainly has a tough job
汤姆 决定 陪 玛丽 在 一起,Tom decided to stay with Mary
湯姆 今天 做 得 非常 好,Tom did a very good job today
湯姆 沒有 告訴 我 他 的 祕 密,Tom didn't tell me his secret
汤姆 甚至 不 知道 我 的 名字,Tom doesn't even know my name
汤姆 给 了 我 一些 东西 读,Tom gave me something to read
汤姆 有 很 友好 的 微笑,Tom has a very friendly smile
汤姆 自从 2003 年 就 住 在 这里,Tom has lived here since 2003
湯姆 只有 一週 時間 做 決定,Tom has only a week to decide
湯姆 還有 想 說 的 事,Tom has something else to say
汤姆 是 男人 我 是 女人,Tom is a man and I'm a woman
汤姆 是 个 很 有 才华 的 作家,Tom is a very talented writer
汤姆 明天 可能 要 赢 了,Tom is likely to win tomorrow
汤姆 正 致力于 一部 新 小说,Tom is working on a new novel
汤姆 把 他 的 钱 放在 保险柜 里,Tom put his money in the safe
湯姆 在 他 的 蛋 上 撒 鹽,Tom put some salt on his eggs
湯姆 最近 找到 了 一份 好 工作,Tom recently found a good job
汤姆 说 他 需要 更 多 钱,Tom said he needed more money
汤姆 说 他 丢 了 钥匙,Tom said that he lost his key
汤姆 似乎 是 个 诚实 的 人,Tom seems to be an honest man
湯姆應 該 隨時 就 會 到 這裡,Tom should be here any minute
湯姆 認為 他 跟 我 有關 係,Tom thinks he's related to me
